esp,wayuu
Pajarito de dios,Kapitirrilin
duérmete,Putunkaa
que ya viene tu mamá.,Iseirru pii joluu.
"Duérmete, pajarito blanco.",Putunkaa Serruma
"duérmete, pajarito rojo.",Putunkaa Ushishowaichen
mi blanco pajarito.,Serrumachen
duérmete niño,Putunkamala
recién nacido,Jouchein
que ya viene tu mamá,Isheyulii tu pikaluu
con la comida,Amirrelupia
y con la chicha. Viene ya,Isheyuliaa suchishe asataa
ya viene con la chicha,Isheyuliaa
Con la masita de maíz,Tu makatshan ujoluu
y con la chicha viene duérmete ya,Isheyulia laujat suchishe pikat
"no llores, niña",Koutapia
"no llores, niña.",Koutapia
vas a estar bien,Aneth pia
No llores chiquitica,Koutapia juuchechonkalaa nojot pialaju
"desde ahora, vas a estar bien",Aneth pia joluu
vas a crecer.,Mioujutpia
Alégrate con todo,Talatachouinjat pain
"lo que tienes,",Makalu tu piarrákat yaya
pues ha llegado un conejito,"Makasain nuntule wanee átpana talatet pia,"
y vas a reír con él,Asirrajet pia numa
duérmete ya,Putunkachontalee
Que tu papá no ha llegado,Ichayuiya le pushi maleyalanee
"Salió a cazar, a cazar, lagartijas.","Olojunyalanee, olojunyalanee, kulumainnerran"
"Lagartijas, lagartijas",Kulumainnerran kulumainnerran we
pronto comeremos,Kunjutunerra
"duérmete, niño",Putunkamala
ya viene tu papá con algo,Isheyuchi pushikai kachisechi
ya mismo viene,Antechi joluu
Y también viene tu mamá,Joutaa mama anterru joluu
"con carne y con maíz, algo traen, algo traen","Ishee asalaa shulujun, maiki, kachiserru shiyacalialai"
duérmete,Putunka
duérmete bebecita,Putunka piachancaluu
"No te vuelvas lloroncita,",Nojostpia keirralunjatuin
Alégrate,Anochouijatu pia
bebecita,Jouchonkalaa
